"","FM_STRCP","FM_TYPE","FM_STRP","TELN_FLG","CURWRKN","TELCELN","FLNGINTV","F10DVYN","FDMEDYN","FHCDVYN","FHCHMYN","FHCPHRYN","FHOSP2YN","FNMEDYN","FSRUNOUT","FSLAST","FSBALANC","FLAADLYN","FLIADLYN","FWKLIMYN","FWALKYN","FREMEMYN","FANYLYN","HOUSEOWN","FSNAP","INCGRP4","INCGRP5","FSALYN","FSEINCYN","FSSRRYN","FPENSYN","FOPENSYN","FSSIYN","FTANFYN","FOWBENYN","FINTR1YN","FDIVDYN","FCHSPYN","FINCOTYN","FSSAPLYN","FSDAPLYN","FMEDBILL","FMEDBPAY","FSAF","FHICOVYN"
"93",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"94",11,1,11,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1
"96",41,4,41,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"97",11,1,11,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"98",23,2,23,1,1,1,1,2,2,1,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1
"99",22,2,22,1,1,1,1,2,2,1,2,2,2,2,3,3,2,2,1,1,1,1,1,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1
"100",41,4,41,1,2,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1
"103",42,4,43,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
"104",11,1,11,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"106",31,3,31,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"107",12,1,12,1,2,1,1,2,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,1,2,3,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1
"108",12,1,12,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"109",21,2,21,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"110",41,4,42,1,1,1,1,2,2,1,2,2,1,2,3,3,3,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1
"114",41,4,41,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
